"","PLAYER","TEAM","AGE","POS","HANDED","GP","G","A","P","P/GP","+/-","Sh","Sh%","TOI","W","L","SO","GAA","Sv%","CLAUSE","EXPIRY","CAP HIT","SALARY"
"1","1. Steven Stamkos","TBL",34,"LW, C","Right",79,"40","41","81","1.03","-21","262","0.15","18:13","-","-","-","-","-","NMC","UFA","$8,500,000","$6,500,000"
"2","2. Sam Reinhart","FLA",28,"RW","Right",82,"57","37","94","1.15","29","233","0.24","20:17","-","-","-","-","-","","UFA","$6,500,000","$6,500,000"
"3","3. Matt Murray","TOR",30,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000","M-NTC","UFA","$6,250,000","$8,000,000"
"4","4. Tyler Myers","VAN",34,"RD","Right",77,"5","24","29","0.38","16","93","0.05","18:56","-","-","-","-","-","M-NTC","UFA","$6,000,000","$6,000,000"
"5","5. Jake Guentzel","CAR",29,"LW, RW","Left",67,"30","47","77","1.15","25","238","0.13","20:00","-","-","-","-","-","M-NTC","UFA","$6,000,000","$6,000,000"
"6","6. Adam Henrique","EDM",34,"LW, C","Left",82,"24","27","51","0.62","9","140","0.17","16:50","-","-","-","-","-","M-NTC","UFA","$5,825,000","$5,825,000"
"7","7. Anthony Mantha","VGK",29,"LW, RW","Left",74,"23","21","44","0.59","11","113","0.20","14:13","-","-","-","-","-","","UFA","$5,700,000","$6,500,000"
"8","8. Tyler Bertuzzi","TOR",29,"LW, RW","Left",80,"21","22","43","0.54","2","160","0.13","16:02","-","-","-","-","-","NMC","UFA","$5,500,000","$5,500,000"
"9","9. Teuvo Teräväinen","CAR",29,"LW, RW","Left",76,"25","28","53","0.70","15","142","0.18","16:24","-","-","-","-","-","M-NTC","UFA","$5,400,000","$5,875,000"
"10","10. Jason Zucker","NSH",32,"LW, RW","Left",69,"14","18","32","0.46","-9","150","0.09","13:49","-","-","-","-","-","","UFA","$5,300,000","$5,300,000"
"11","11. Brady Skjei","CAR",30,"LD","Left",80,"13","34","47","0.59","15","185","0.07","21:16","-","-","-","-","-","M-NTC","UFA","$5,250,000","$5,400,000"
"12","12. Jakub Vrána","STL",28,"LW","Left",21,"2","4","6","0.29","-7","42","0.05","12:07","-","-","-","-","-","","UFA","$5,250,000","$5,750,000"
"13","13. Alec Martinez","VGK",36,"LD","Left",55,"4","13","17","0.31","-2","72","0.06","19:02","-","-","-","-","-","M-NTC","UFA","$5,250,000","$5,750,000"
"14","14. Tyler Johnson","CHI",33,"RW, C, LW","Right",67,"17","14","31","0.46","-35","112","0.15","15:32","-","-","-","-","-","M-NTC","UFA","$5,000,000","$4,750,000"
"15","15. Jonathan Marchessault","VGK",33,"RW, LW","Right",82,"42","27","69","0.84","-2","266","0.16","17:53","-","-","-","-","-","M-NTC","UFA","$5,000,000","$3,500,000"
"16","16. TJ Brodie","TOR",34,"LD/RD","Left",78,"1","25","26","0.33","17","52","0.02","21:43","-","-","-","-","-","M-NTC","UFA","$5,000,000","$7,500,000"
"17","17. Vladimir Tarasenko","FLA",32,"RW","Left",76,"23","32","55","0.72","13","155","0.15","15:44","-","-","-","-","-","NTC","UFA","$5,000,000","$5,000,000"
"18","18. Elias Lindholm","VAN",29,"C, RW","Right",75,"15","29","44","0.59","-14","173","0.09","19:41","-","-","-","-","-","","UFA","$4,850,000","$4,850,000"
"19","19. Victor Olofsson","BUF",28,"RW, LW","Left",51,"7","8","15","0.29","-1","66","0.11","11:34","-","-","-","-","-","","UFA","$4,750,000","$4,750,000"
"20","20. David Perron","DET",36,"RW, LW","Right",76,"17","30","47","0.62","-12","151","0.11","15:37","-","-","-","-","-","M-NTC","UFA","$4,750,000","$5,150,000"
"21","21. Kevin Labanc","SJS",28,"RW, LW","Right",46,"2","7","9","0.20","-27","60","0.03","11:37","-","-","-","-","-","","UFA","$4,725,000","$5,875,000"
"22","22. Nikita Zaitsev","CHI",32,"RD","Right",38,"2","5","7","0.18","-5","31","0.06","15:55","-","-","-","-","-","M-NTC","UFA","$4,500,000","$4,500,000"
"23","23. Christopher Tanev","DAL",34,"RD","Right",75,"2","17","19","0.25","22","56","0.04","19:41","-","-","-","-","-","M-NTC","UFA","$4,500,000","$4,500,000"
"24","24. Tyson Barrie","NSH",32,"RD","Right",41,"1","14","15","0.37","-10","65","0.02","18:19","-","-","-","-","-","","UFA","$4,500,000","$5,000,000"
"25","25. Alexander Wennberg","NYR",29,"C","Left",79,"10","20","30","0.38","0","90","0.11","17:59","-","-","-","-","-","M-NTC","UFA","$4,500,000","$5,000,000"
"26","26. Mike Hoffman","SJS",34,"LW","Left",66,"10","13","23","0.35","-21","71","0.14","13:43","-","-","-","-","-","","UFA","$4,500,000","$5,000,000"
"27","27. Tyler Toffoli","WPG",32,"RW, LW","Right",79,"33","22","55","0.70","-6","229","0.14","16:57","-","-","-","-","-","","UFA","$4,250,000","$3,500,000"
"28","28. Viktor Arvidsson","LAK",31,"RW, LW","Right",18,"6","9","15","0.83","4","59","0.10","16:41","-","-","-","-","-","","UFA","$4,250,000","$4,250,000"
"29","29. Anthony Beauvillier","NSH",27,"RW, LW","Left",60,"5","12","17","0.28","-8","105","0.05","13:34","-","-","-","-","-","","UFA","$4,150,000","$4,150,000"
"30","30. John Klingberg","TOR",31,"RD","Right",14,"0","5","5","0.36","-7","14","0.00","20:33","-","-","-","-","-","M-NTC","UFA","$4,150,000","$4,150,000"
