"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","state_id","model"
"1","p_delta[1]",0.9976,1,0.0489358656180588,0,1,1,0.999963535584791,4312.59519788934,NA,1,"exp heir"
"2","p_delta[2]",0.992,1,0.0890931395647466,0,1,1,1.000629662128,3609.36355626277,NA,2,"exp heir"
"3","p_delta[3]",0.9998,1,0.0141421356237304,0,1,1,1,5016.07712912811,NA,3,"exp heir"
"4","p_delta[4]",0.9936,1,0.079751564639274,0,1,1,0.999602136584046,3363.82629052748,NA,4,"exp heir"
"5","p_delta[5]",0.9974,1,0.05092895788989,0,1,1,1.00017846191427,4361.96040586768,NA,5,"exp heir"
"6","p_delta[6]",1,1,0,0,1,1,NA,NA,NA,6,"exp heir"
"7","p_delta[7]",0.9178,1,0.27469665387537,0,0,1,0.999848955497327,3998.34204290532,NA,7,"exp heir"
"8","p_delta[8]",0.9634,1,0.187796415031543,0,1,1,0.999598225428839,4278.08891815063,NA,8,"exp heir"
"9","p_delta[9]",0.912,1,0.283323233094083,0,0,1,0.99984675755512,4244.03262683079,NA,9,"exp heir"
"10","p_delta[10]",0.903,1,0.295987367474262,0,0,1,0.999604298801997,4296.00900997147,NA,10,"exp heir"
"11","p_delta[11]",0.9992,1,0.0282757829950093,0,1,1,0.999657084061472,5023.00379487248,NA,11,"exp heir"
"12","p_delta[12]",1,1,0,0,1,1,NA,NA,NA,12,"exp heir"
"13","p_delta[13]",1,1,0,0,1,1,NA,NA,NA,13,"exp heir"
"14","p_delta[14]",0.944,1,0.229944721433189,0,0,1,1.00045280137551,3704.13743911805,NA,14,"exp heir"
"15","p_delta[15]",0.9316,1,0.252456306788659,0,0,1,1.00083597151515,3592.43314623064,NA,15,"exp heir"
"16","p_delta[16]",0.773,1,0.418934483207381,0,0,1,0.999930139293635,3547.52737280003,NA,16,"exp heir"
"17","p_delta[17]",1,1,0,0,1,1,NA,NA,NA,17,"exp heir"
"18","p_delta[18]",0.9124,1,0.282740567385869,0,0,1,1.0010131492451,3538.43486409396,NA,18,"exp heir"
"19","p_delta[19]",0.995,1,0.0705407343245053,0,1,1,1.00070367164332,3665.04701867893,NA,19,"exp heir"
"20","p_delta[20]",0.9372,1,0.242627149319111,0,0,1,1.00003718186745,3487.48122138912,NA,20,"exp heir"
"21","p_delta[21]",0.8916,1,0.310916023637812,0,0,1,0.99987987439633,4086.87639274174,NA,21,"exp heir"
"22","p_delta[22]",0.937,1,0.24298726008109,0,0,1,0.999670034847213,3922.33010606225,NA,22,"exp heir"
"23","p_delta[23]",0.9952,1,0.0691224680051033,0,1,1,1.00088615859578,3328.57667779733,NA,23,"exp heir"
"24","p_delta[24]",0.9906,1,0.0965064904581017,0,1,1,0.999923887898523,4351.23432131249,NA,24,"exp heir"
"25","p_delta[25]",0.999,1,0.0316101224288686,0,1,1,0.999909021793857,5024.39255074434,NA,25,"exp heir"
"26","p_delta[26]",0.964,1,0.186308728159569,0,1,1,0.999547309910889,4687.14501807899,NA,26,"exp heir"
"27","p_delta[27]",0.9996,1,0.0199979994998696,0,1,1,1.00080224641864,2504.01282051277,NA,27,"exp heir"
"28","p_delta[28]",0.9986,1,0.037394112690807,0,1,1,1.00009918942146,3904.76171016902,NA,28,"exp heir"
"29","p_delta[29]",0.9962,1,0.0615330582975736,0,1,1,1.0008380153816,3885.82465201188,NA,29,"exp heir"
"30","p_delta[30]",0.9318,1,0.252114006541589,0,0,1,1.00004550207989,3995.86404470413,NA,30,"exp heir"
"31","p_delta[31]",0.964,1,0.186308728159569,0,1,1,0.999694880754245,3420.09758593657,NA,31,"exp heir"
"32","p_delta[32]",0.9998,1,0.0141421356237306,0,1,1,1,5016.07712912811,NA,32,"exp heir"
"33","p_delta[33]",0.9462,1,0.225645170895885,0,0,1,0.999860191328656,4395.04751646922,NA,33,"exp heir"
"34","p_delta[34]",0.9762,1,0.152440833248603,0,1,1,1.00018291609961,4518.29782869208,NA,34,"exp heir"
"35","p_delta[35]",0.9992,1,0.0282757829950092,0,1,1,1.00057346547008,5020.69168387228,NA,35,"exp heir"
"36","p_delta[36]",0.9116,1,0.283904139300684,0,0,1,0.999979254523219,3849.36013539041,NA,36,"exp heir"
"37","p_delta[37]",1,1,0,0,1,1,NA,NA,NA,37,"exp heir"
"38","p_delta[38]",1,1,0,0,1,1,NA,NA,NA,38,"exp heir"
"39","p_delta[39]",0.9446,1,0.228782228902618,0,0,1,1.00005206656926,4104.23608934186,NA,39,"exp heir"
"40","p_delta[40]",0.8662,1,0.340471355841904,0,0,1,0.999697962478105,4423.51349153867,NA,40,"exp heir"
"41","p_delta[41]",0.9402,1,0.237139636166988,0,0,1,0.999745595135575,4107.17633859745,NA,41,"exp heir"
"42","p_delta[42]",0.9998,1,0.0141421356237303,0,1,1,1,5016.07712912811,NA,42,"exp heir"
"43","p_delta[43]",0.9984,1,0.0399719845880908,0,1,1,0.999657450781271,4056.48939538364,NA,43,"exp heir"
"44","p_delta[44]",0.997,1,0.0546955054795558,0,1,1,1.00010938107318,4028.89266154537,NA,44,"exp heir"
"45","p_delta[45]",0.9966,1,0.0582161302695827,0,1,1,0.999894526531903,5048.92486523282,NA,45,"exp heir"
