"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","state_id","model"
"1","p_delta[1]",0.8154,1,0.388011534094183,0,0,1,0.999682928739577,5157.25955410765,NA,1,"logistic heir"
"2","p_delta[2]",0.8016,1,0.398834870404725,0,0,1,0.999434114696862,5031.56662012526,NA,2,"logistic heir"
"3","p_delta[3]",0.777,1,0.416299965328151,0,0,1,0.999446372359079,5491.37864492975,NA,3,"logistic heir"
"4","p_delta[4]",0.8014,1,0.398986062382611,0,0,1,1.00052996386789,4887.7180168953,NA,4,"logistic heir"
"5","p_delta[5]",0.787,1,0.409468598193555,0,0,1,1.00028771117607,5038.94054854751,NA,5,"logistic heir"
"6","p_delta[6]",0.7954,1,0.4034493701555,0,0,1,0.999526385564109,4942.12396298555,NA,6,"logistic heir"
"7","p_delta[7]",0.7926,1,0.405485047350365,0,0,1,1.00034823579828,5024.5339287405,NA,7,"logistic heir"
"8","p_delta[8]",0.804,1,0.397008215411993,0,0,1,0.999891310041243,4920.24409408086,NA,8,"logistic heir"
"9","p_delta[9]",0.8076,1,0.394224964537439,0,0,1,1.00033424811859,5479.04405929727,NA,9,"logistic heir"
"10","p_delta[10]",0.7906,1,0.406921069682305,0,0,1,1.00017082736083,5676.93546234848,NA,10,"logistic heir"
"11","p_delta[11]",0.7992,1,0.400638817755417,0,0,1,0.99986057401988,5297.67883515838,NA,11,"logistic heir"
"12","p_delta[12]",0.7892,1,0.407917441803916,0,0,1,1.00089404139953,5177.21520473352,NA,12,"logistic heir"
"13","p_delta[13]",0.809,1,0.393128363237744,0,0,1,0.999554423934628,4866.10976851609,NA,13,"logistic heir"
"14","p_delta[14]",0.7904,1,0.407063852725902,0,0,1,0.999968018162775,4946.93983456407,NA,14,"logistic heir"
"15","p_delta[15]",0.8034,1,0.397467025056404,0,0,1,0.999411280963713,5044.27806782493,NA,15,"logistic heir"
"16","p_delta[16]",0.7954,1,0.4034493701555,0,0,1,1.00011110676443,4611.81596935155,NA,16,"logistic heir"
"17","p_delta[17]",0.8056,1,0.395777674956046,0,0,1,1.00001250875705,4478.51445361175,NA,17,"logistic heir"
"18","p_delta[18]",0.7968,1,0.402420362841745,0,0,1,1.00027769518586,5290.49849635105,NA,18,"logistic heir"
"19","p_delta[19]",0.8058,1,0.395623133212277,0,0,1,0.999781413179265,4836.47742492496,NA,19,"logistic heir"
"20","p_delta[20]",0.79,1,0.407348974022664,0,0,1,0.999798701706321,5017.68595001158,NA,20,"logistic heir"
"21","p_delta[21]",0.797,1,0.402272749105536,0,0,1,0.999679779870498,5078.60690362633,NA,21,"logistic heir"
"22","p_delta[22]",0.8022,1,0.398380347633112,0,0,1,0.999736484379419,5055.65324215852,NA,22,"logistic heir"
"23","p_delta[23]",0.792,1,0.405917422378947,0,0,1,0.99973907230752,4496.85294953408,NA,23,"logistic heir"
"24","p_delta[24]",0.7988,1,0.40093728953794,0,0,1,0.999713291461872,5100.25107481871,NA,24,"logistic heir"
"25","p_delta[25]",0.8038,1,0.397161311586984,0,0,1,0.99983260757766,5105.75985934233,NA,25,"logistic heir"
"26","p_delta[26]",0.7892,1,0.407917441803915,0,0,1,1.00027687876554,4572.720364515,NA,26,"logistic heir"
"27","p_delta[27]",0.8036,1,0.397314248073679,0,0,1,1.0000984583553,4917.79860645093,NA,27,"logistic heir"
"28","p_delta[28]",0.8084,1,0.393599319212833,0,0,1,0.999902761848869,4863.00412198431,NA,28,"logistic heir"
"29","p_delta[29]",0.8006,1,0.399589257006304,0,0,1,0.999928114844938,5054.37939248085,NA,29,"logistic heir"
"30","p_delta[30]",0.8018,1,0.398683520740375,0,0,1,0.99997635538561,4875.41860664288,NA,30,"logistic heir"
"31","p_delta[31]",0.7982,1,0.401383833501509,0,0,1,1.00043898783281,5098.76732488489,NA,31,"logistic heir"
"32","p_delta[32]",0.8086,1,0.39344249821275,0,0,1,1.00002678014953,4774.26149271266,NA,32,"logistic heir"
"33","p_delta[33]",0.793,1,0.405196047324453,0,0,1,0.999928148739892,4629.77260136659,NA,33,"logistic heir"
"34","p_delta[34]",0.7922,1,0.405773447157493,0,0,1,0.999693751706854,4277.59221489314,NA,34,"logistic heir"
"35","p_delta[35]",0.7932,1,0.405051321828061,0,0,1,1.00017159005747,4993.59594224456,NA,35,"logistic heir"
"36","p_delta[36]",0.8008,1,0.399438693987013,0,0,1,1.0002548235407,4985.2991203331,NA,36,"logistic heir"
"37","p_delta[37]",0.8098,1,0.392498115860674,0,0,1,0.999566250501345,5197.11940242808,NA,37,"logistic heir"
"38","p_delta[38]",0.8008,1,0.399438693987012,0,0,1,1.00040644238907,4541.61529070763,NA,38,"logistic heir"
"39","p_delta[39]",0.797,1,0.402272749105537,0,0,1,1.00011871620912,5516.49000524614,NA,39,"logistic heir"
"40","p_delta[40]",0.7952,1,0.403595760517345,0,0,1,0.999844175177598,4818.00945128771,NA,40,"logistic heir"
"41","p_delta[41]",0.7934,1,0.404906445794546,0,0,1,0.999910208762529,4714.06202327232,NA,41,"logistic heir"
"42","p_delta[42]",0.810599999999999,1,0.391865221307439,0,0,1,1.00028874990607,4905.70187053588,NA,42,"logistic heir"
"43","p_delta[43]",0.7808,1,0.413745812207735,0,0,1,1.00111515580538,4301.41655383515,NA,43,"logistic heir"
"44","p_delta[44]",0.805,1,0.396240332727805,0,0,1,0.999675872676643,4673.57083179047,NA,44,"logistic heir"
"45","p_delta[45]",0.8092,1,0.392971048868804,0,0,1,0.999777001833708,4944.05280550702,NA,45,"logistic heir"
"46","p_delta[46]",0.78,1,0.414287734389249,0,0,1,1.00072517632626,5157.88031768705,NA,46,"logistic heir"
"47","p_delta[47]",0.7918,1,0.406061248024771,0,0,1,1.00013717611232,4629.96859984382,NA,47,"logistic heir"
"48","p_delta[48]",0.793,1,0.405196047324453,0,0,1,0.999834491689059,4597.30978876446,NA,48,"logistic heir"
"49","p_delta[49]",0.7898,1,0.407491312587117,0,0,1,0.999950830510155,5366.64493510759,NA,49,"logistic heir"
"50","p_delta[50]",0.798,1,0.401532371857012,0,0,1,0.999834359689975,5041.92296581132,NA,50,"logistic heir"
"51","p_delta[51]",0.8072,1,0.39453680672198,0,0,1,1.00027888681312,5254.51819862392,NA,51,"logistic heir"
