"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","model","state_id"
"1","p_delta",0.532125,1,0.49899810547101,0,0,1,1.00008094024307,7148.02121801298,NA,"gamma-single",1
"2","p_delta",0.510625,1,0.499918342500715,0,0,1,0.999775921087467,7921.40267859252,NA,"gamma-single",2
"3","p_delta",0.495999999999999,0,0.500015251673914,0,0,1,1.00018187316787,6890.04773779798,NA,"gamma-single",3
"4","p_delta",0.521125,1,0.499584760067353,0,0,1,1.0007453754475,7177.34423221004,NA,"gamma-single",4
"5","p_delta",0.505,1,0.500006250742257,0,0,1,0.999716418331502,6929.30506138693,NA,"gamma-single",5
"6","p_delta",0.509375000000001,1,0.499943349084686,0,0,1,1.00029823140897,7681.39860796316,NA,"gamma-single",6
"7","p_delta",0.501625,1,0.500028612132951,0,0,1,0.999894126234726,7133.11095976249,NA,"gamma-single",7
"8","p_delta",0.515249999999999,1,0.499798621779578,0,0,1,1.00036160178614,6834.92258855556,NA,"gamma-single",8
"9","p_delta",0.510875,1,0.499912965921757,0,0,1,1.0001137221292,7366.12081341274,NA,"gamma-single",9
"10","p_delta",0.505874999999998,1,0.499996733956074,0,0,1,1.00073186079115,6934.21993454538,NA,"gamma-single",10
"11","p_delta",0.503,1,0.500022252286431,0,0,1,1.00012292815566,7270.06710479713,NA,"gamma-single",11
"12","p_delta",0.493500000000001,0,0.499988998503794,0,0,1,1.00051568508627,6786.08422761414,NA,"gamma-single",12
"13","p_delta",0.532000000000001,1,0.499006138129324,0,0,1,1.00037138451948,6393.83686197667,NA,"gamma-single",13
"14","p_delta",0.501375,1,0.500029362183228,0,0,1,0.999770654640369,7668.12829884576,NA,"gamma-single",14
"15","p_delta",0.5035,1,0.500019002014246,0,0,1,1.00051670827619,6621.32365310864,NA,"gamma-single",15
"16","p_delta",0.49875,0,0.500029690329924,0,0,1,0.999795695370834,6271.61949396625,NA,"gamma-single",16
"17","p_delta",0.536,1,0.498733487833426,0,0,1,1.00025325424001,6665.11802903516,NA,"gamma-single",17
"18","p_delta",0.504625,1,0.50000986051039,0,0,1,0.999822692810121,6775.71892279375,NA,"gamma-single",18
"19","p_delta",0.510125,1,0.499928720384922,0,0,1,0.99977162135826,6511.09475568687,NA,"gamma-single",19
"20","p_delta",0.508374999999999,1,0.499961103000129,0,0,1,1.00014478889658,6887.68777328905,NA,"gamma-single",20
"21","p_delta",0.507250000000001,1,0.499978684381209,0,0,1,1.00038788868013,6234.31295180718,NA,"gamma-single",21
