"","X","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","county_name","new_hosp","death","remapped_id","population","population_scale","month","month_id","jhu_cases_reset","jhu_zero","case_na","jhu_na","cdc_impute","jhu_impute","pred_cdc","pred_jhu","pred_zero","jhu_comb","avg_pred","avg","diff1","diff2"
"1",1,"2020-03-01","NE","ADAMS",31001,12,0,0,12,0,0,12,3,0,0,0,"Adams",0,0,37,31178,3.48357541899441,2020-03-01,2,3,0,0,0,12,3,151.102701843155,11.4009642668659,0.232359860168945,8.7518378040258,79.9272698235904,7.5,72.4272698235904,72.4272698235904
"2",9,"2020-04-01","NE","ADAMS",31001,181,0,0,181,0,0,181,161,3,4,4,"Adams",0,5,37,31178,3.48357541899441,2020-04-01,3,161,0,0,0,181,161,115.919713198461,95.9964827159452,0.122138962768951,84.2715718875521,100.095642543007,171,70.9043574569933,70.9043574569933
"3",23,"2020-05-01","NE","ADAMS",31001,72,0,0,72,0,0,72,106,8,7,7,"Adams",0,7,37,31178,3.48357541899441,2020-05-01,4,106,0,0,0,72,106,113.353138325921,83.6048650008228,0.12764889117995,72.9327966862184,93.1429675060699,89,4.14296750606992,4.14296750606992
"4",38,"2020-06-01","NE","ADAMS",31001,26,0,0,26,0,0,26,24,0,1,1,"Adams",0,0,37,31178,3.48357541899441,2020-06-01,5,24,0,0,0,26,24,232.869677003971,54.4239070113665,0.146128703105186,46.4710120618783,139.670344532925,25,114.670344532925,114.670344532925
"5",53,"2020-07-01","NE","ADAMS",31001,53,0,0,53,0,0,53,45,0,0,0,"Adams",0,0,37,31178,3.48357541899441,2020-07-01,6,45,0,0,0,53,45,326.382055790577,65.2527132252362,0.138060311537669,56.2439033086819,191.312979549629,49,142.312979549629,142.312979549629
"6",70,"2020-08-01","NE","ADAMS",31001,70,0,0,70,0,0,70,71,0,2,2,"Adams",0,2,37,31178,3.48357541899441,2020-08-01,7,71,0,0,0,70,71,199.866023447758,51.8768767610607,0.148324343110815,44.1822730928357,122.024148270297,70.5,51.5241482702968,51.5241482702968
"7",87,"2020-09-01","NE","ADAMS",31001,161,0,0,161,0,0,161,164,1,2,2,"Adams",0,2,37,31178,3.48357541899441,2020-09-01,8,164,0,0,0,161,164,251.101606854042,163.973569290734,0.102692818899556,147.134661235247,199.118134044644,162.5,36.6181340446444,36.6181340446444
"8",104,"2020-10-01","NE","ADAMS",31001,417,0,2,415,0,0,417,339,3,8,9,"Adams",40,5,37,31178,3.48357541899441,2020-10-01,9,339,0,0,0,417,339,416.533182454386,242.338907455462,0.0902847083606101,220.459409871417,318.496296162901,378,59.5037038370989,59.5037038370989
"9",121,"2020-11-01","NE","ADAMS",31001,756,0,1,755,0,0,756,745,8,19,21,"Adams",85,16,37,31178,3.48357541899441,2020-11-01,10,745,0,0,0,756,745,754.944911130682,746.452710123384,0.061769102225888,700.344996364982,727.644953747832,750.5,22.8550462521681,22.8550462521681
"10",138,"2020-12-01","NE","ADAMS",31001,392,0,0,392,0,0,392,627,13,9,12,"Adams",55,9,37,31178,3.48357541899441,2020-12-01,11,627,0,0,0,392,627,483.234159763058,499.256008719912,0.0708404600892739,463.888483359859,473.561321561458,509.5,35.9386784385416,35.9386784385416
"11",155,"2021-01-01","NE","ADAMS",31001,259,0,1,258,0,0,259,338,1,7,7,"Adams",31,6,37,31178,3.48357541899441,2021-01-01,12,338,0,0,0,259,338,487.269136374136,315.183985789957,0.133985802767933,272.953806434293,380.111471404214,298.5,81.6114714042142,81.6114714042142
"12",172,"2021-02-01","NE","ADAMS",31001,87,0,0,87,0,0,87,88,1,0,0,"Adams",20,0,37,31178,3.48357541899441,2021-02-01,13,88,0,0,0,87,88,441.313860829618,27.570285214886,0.273427304207854,20.031816452338,230.672838640978,87.5,143.172838640978,143.172838640978
"13",189,"2021-03-01","NE","ADAMS",31001,303,0,1,302,0,0,303,101,0,0,0,"Adams",14,0,37,31178,3.48357541899441,2021-03-01,14,101,0,0,0,303,101,349.86965891607,120.336169424332,0.180214856373955,98.649803934934,224.259731425502,202,22.2597314255019,22.2597314255019
"14",206,"2021-04-01","NE","ADAMS",31001,192,0,0,192,0,0,192,87,5,0,0,"Adams",0,0,37,31178,3.48357541899441,2021-04-01,15,87,0,0,0,192,87,243.095650787627,44.9402505289623,0.239475956818978,34.1781410338545,138.636895910741,139.5,0.863104089259167,0.863104089259167
"15",223,"2021-05-01","NE","ADAMS",31001,48,0,0,48,0,0,48,94,3,0,0,"Adams",18,0,37,31178,3.48357541899441,2021-05-01,16,94,0,0,0,48,94,445.684171137898,97.2160915970345,0.192001726385795,78.5504341779243,262.117302657911,71,191.117302657911,191.117302657911
