"","X","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","new_hosp_primary","new_hosp_incidental","new_hosp_total","new_death_total","remapped_id","population","population_scale","month","month_id","jhu_cases_reset","jhu_zero","case_na","jhu_na","cdc_impute","jhu_impute","pred_cdc","pred_jhu","pred_zero","jhu_comb","avg_pred","avg","diff1","diff2"
"1",23,"2020-03-01","NY","ALBANY",36001,520,99,287,134,0,483,37,226,1,4,4,28,21,49,1,51,314018,13.8486438809261,2020-03-01,3,226,0,0,0,520,226,757.855412221359,226.022638761045,0.00999520485476307,223.763496184814,490.809454203086,373,117.809454203086,117.809454203086
"2",79,"2020-04-01","NY","ALBANY",36001,1238,128,733,377,75,1076,87,939,40,68,75,107,45,152,54,51,314018,13.8486438809261,2020-04-01,4,939,0,0,0,1238,939,1047.05834173406,935.892835882453,0.0120505199408759,924.614840601129,985.836591167595,1088.5,102.663408832405,102.663408832405
"3",139,"2020-05-01","NY","ALBANY",36001,1447,63,472,912,17,1309,121,695,35,75,85,105,16,121,88,51,314018,13.8486438809261,2020-05-01,5,695,0,0,0,1447,695,1153.17463473615,443.93697291957,0.0109211691790047,439.0886621335,796.131648434824,1071,274.868351565176,274.868351565176
"4",199,"2020-06-01","NY","ALBANY",36001,841,26,155,660,0,766,75,242,45,18,23,51,3,54,17,51,314018,13.8486438809261,2020-06-01,6,242,0,0,0,841,242,1844.03306447967,250.660020080345,0.0101319363767661,248.120348704692,1046.07670659218,541.5,504.576706592181,504.576706592181
"5",259,"2020-07-01","NY","ALBANY",36001,1097,15,365,717,0,1035,62,401,5,9,10,54,12,66,10,51,314018,13.8486438809261,2020-07-01,7,401,0,0,0,1097,401,3276.72541677814,602.508902819166,0.0113703835003264,595.658145531751,1936.19178115494,749,1187.19178115494,1187.19178115494
"6",319,"2020-08-01","NY","ALBANY",36001,842,31,192,619,0,781,61,267,7,8,9,44,4,48,7,51,314018,13.8486438809261,2020-08-01,8,267,0,0,0,842,267,1016.10136805735,297.283368761046,0.0103614718906709,294.203075492064,655.152221774707,554.5,100.652221774707,100.652221774707
"7",379,"2020-09-01","NY","ALBANY",36001,1006,14,363,629,0,934,72,350,1,2,3,19,8,27,1,51,314018,13.8486438809261,2020-09-01,9,350,0,0,0,1006,350,590.101887234048,660.081618207106,0.0115083068492824,652.485196399208,621.293541816628,678,56.7064581833722,56.7064581833722
"8",439,"2020-10-01","NY","ALBANY",36001,1345,30,308,1007,0,1227,118,605,6,7,9,82,21,103,11,51,314018,13.8486438809261,2020-10-01,10,605,0,0,0,1345,605,659.679790863091,628.973285578303,0.0114343741055455,621.781369728607,640.730580295849,975,334.269419704151,334.269419704151
"9",499,"2020-11-01","NY","ALBANY",36001,2823,16,18,2789,0,2407,416,2091,8,31,37,220,40,260,32,51,314018,13.8486438809261,2020-11-01,11,2091,0,0,0,2823,2091,2040.88751922042,1032.55851538697,0.0122051953167109,1019.95593703074,1530.42172812558,2457,926.578271874421,926.578271874421
"10",558,"2020-12-01","NY","ALBANY",36001,5097,44,275,4778,0,4731,366,5769,54,98,106,668,4,672,79,51,314018,13.8486438809261,2020-12-01,12,5769,0,0,0,5097,5769,3233.70176165655,5634.09026553032,0.0153219784923276,5547.76485565803,4390.73330865729,5433,1042.26669134271,1042.26669134271
