"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","county_name","new_hosp","death"
"1",2020-03-01,"NE","ADAMS",31001,12,0,0,12,0,0,12,3,0,0,0,"Adams",0,0
"2",2020-03-01,"NE","BUFFALO",31019,17,0,0,17,0,0,17,6,0,1,1,"Buffalo",0,0
"3",2020-03-01,"NE","DOUGLAS",31055,137,0,0,137,0,0,137,85,1,1,1,"Douglas",0,1
"4",2020-03-01,"NE","HALL",31079,84,0,0,84,0,0,84,8,1,1,1,"Hall",0,2
"5",2020-03-01,"NE","LANCASTER",31109,44,0,0,44,0,0,44,8,0,1,1,"Lancaster",0,0
"6",2020-03-01,"NE","LINCOLN",31111,15,0,0,15,0,0,15,5,1,1,1,"Lincoln",0,1
"7",2020-03-01,"NE","SARPY",31153,28,0,0,28,0,0,28,16,0,0,0,"Sarpy",0,0
"8",2020-03-01,"NE","WASHINGTON",31177,15,0,0,15,0,0,15,19,0,1,1,"Washington",0,0
"9",2020-04-01,"NE","ADAMS",31001,181,0,0,181,0,0,181,161,3,4,4,"Adams",0,5
"10",2020-04-01,"NE","BUFFALO",31019,99,0,1,98,0,0,99,95,1,3,3,"Buffalo",0,0
"11",2020-04-01,"NE","DAKOTA",31043,777,0,1,776,0,0,777,656,1,0,1,NA,NA,NA
"12",2020-04-01,"NE","DAWSON",31047,663,0,0,663,0,0,663,455,0,0,0,"Dawson",0,1
"13",2020-04-01,"NE","DODGE",31053,83,0,0,83,0,0,83,52,0,0,0,"Dodge",0,0
"14",2020-04-01,"NE","DOUGLAS",31055,846,0,1,845,0,0,846,571,13,18,18,"Douglas",0,15
"15",2020-04-01,"NE","GAGE",31067,32,0,0,32,0,0,32,35,3,1,1,"Gage",0,2
"16",2020-04-01,"NE","HALL",31079,1106,1,1,1104,0,0,1106,1017,27,24,24,"Hall",0,28
