"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","new_hosp_primary","new_hosp_incidental","new_hosp_total","new_death_total"
"1",2020-01-01,"NY","BRONX",36005,23,20,1,2,0,0,23,NA,NA,0,0,NA,NA,NA,NA
"2",2020-01-01,"NY","ERIE",36029,48,3,24,21,0,45,3,NA,NA,0,0,NA,NA,NA,NA
"3",2020-01-01,"NY","HERKIMER",36043,34,1,4,29,0,22,12,NA,NA,0,0,NA,NA,NA,NA
"4",2020-01-01,"NY","KINGS",36047,11,9,1,1,0,0,11,NA,NA,0,0,NA,NA,NA,NA
"5",2020-01-01,"NY","MONROE",36055,13,0,8,5,0,13,0,NA,NA,0,0,NA,NA,NA,NA
"6",2020-01-01,"NY","NASSAU",36059,23,1,8,14,0,18,5,NA,NA,0,0,NA,NA,NA,NA
"7",2020-01-01,"NY","ONEIDA",36065,102,0,6,96,0,90,12,NA,NA,0,0,NA,NA,NA,NA
"8",2020-01-01,"NY","ONONDAGA",36067,17,2,7,8,0,16,1,NA,NA,0,0,NA,NA,NA,NA
"9",2020-01-01,"NY","ORANGE",36071,11,1,6,4,0,11,0,NA,NA,0,0,NA,NA,NA,NA
"10",2020-01-01,"NY","ROCKLAND",36087,33,1,6,26,0,12,21,NA,NA,0,0,NA,NA,NA,NA
"11",2020-01-01,"NY","SUFFOLK",36103,41,1,15,25,0,35,6,NA,NA,0,0,NA,NA,NA,NA
"12",2020-01-01,"NY","WESTCHESTER",36119,23,1,8,14,0,21,2,NA,NA,0,0,NA,NA,NA,NA
"13",2020-02-01,"NY","BRONX",36005,180,173,5,2,0,0,180,0,0,0,0,NA,NA,NA,NA
"14",2020-02-01,"NY","KINGS",36047,208,193,10,5,11,0,197,0,0,0,0,NA,NA,NA,NA
"15",2020-02-01,"NY","NASSAU",36059,51,5,16,30,0,38,13,0,0,1,1,NA,NA,NA,NA
"16",2020-02-01,"NY","NEW YORK",36061,193,187,4,2,15,0,178,0,0,0,0,NA,NA,NA,NA
"17",2020-02-01,"NY","ORANGE",36071,17,1,15,1,0,17,0,0,0,0,0,NA,NA,NA,NA
"18",2020-02-01,"NY","QUEENS",36081,213,206,4,3,34,0,179,0,0,0,0,NA,NA,NA,NA
"19",2020-02-01,"NY","RICHMOND",36085,49,48,1,0,0,0,49,0,0,0,0,NA,NA,NA,NA
"20",2020-02-01,"NY","ROCKLAND",36087,23,3,17,3,0,20,3,0,0,0,0,NA,NA,NA,NA
"21",2020-02-01,"NY","SUFFOLK",36103,14,3,5,6,0,14,0,0,0,1,1,NA,NA,NA,NA
"22",2020-02-01,"NY","WESTCHESTER",36119,49,17,22,10,0,11,38,0,0,1,1,NA,NA,NA,NA
"23",2020-03-01,"NY","ALBANY",36001,520,99,287,134,0,483,37,226,1,4,4,28,21,49,1
"24",2020-03-01,"NY","ALLEGANY",36003,25,2,3,20,0,23,2,9,1,0,0,1,3,4,0
"25",2020-03-01,"NY","BRONX",36005,13390,4711,216,8463,1564,277,11549,7766,465,402,427,385,1242,1627,0
"26",2020-03-01,"NY","BROOME",36007,109,31,58,20,0,68,41,38,3,4,4,5,14,19,4
"27",2020-03-01,"NY","CATTARAUGUS",36009,14,0,3,11,0,14,0,6,0,0,0,0,2,2,0
"28",2020-03-01,"NY","CAYUGA",36011,19,2,10,7,0,18,1,4,0,0,0,0,0,0,0
"29",2020-03-01,"NY","CHAUTAUQUA",36013,40,4,9,27,0,24,16,7,0,0,0,0,0,0,0
"30",2020-03-01,"NY","CHEMUNG",36015,79,9,32,38,0,64,15,20,0,0,0,2,3,5,0
"31",2020-03-01,"NY","CHENANGO",36017,59,14,36,9,0,48,11,19,0,0,0,0,3,3,0
"32",2020-03-01,"NY","CLINTON",36019,66,8,50,8,0,63,3,21,0,1,1,4,16,20,0
"33",2020-03-01,"NY","COLUMBIA",36021,81,22,48,11,0,55,26,36,1,1,1,3,10,13,0
"34",2020-03-01,"NY","CORTLAND",36023,53,1,14,38,0,52,1,10,0,0,0,0,0,0,0
"35",2020-03-01,"NY","DELAWARE",36025,26,1,9,16,0,22,4,16,0,0,0,0,0,0,0
"36",2020-03-01,"NY","DUTCHESS",36027,1205,110,294,801,11,1123,71,484,3,8,8,11,33,44,7
"37",2020-03-01,"NY","ERIE",36029,1107,315,104,688,71,975,61,499,8,16,16,64,112,176,10
"38",2020-03-01,"NY","FRANKLIN",36033,12,0,6,6,0,11,1,6,0,0,0,0,0,0,0
"39",2020-03-01,"NY","FULTON",36035,24,9,7,8,0,13,11,1,0,0,0,0,0,0,0
"40",2020-03-01,"NY","GENESEE",36037,70,8,44,18,0,65,5,11,1,0,0,4,4,8,0
"41",2020-03-01,"NY","GREENE",36039,56,9,29,18,0,53,3,10,0,0,0,NA,NA,NA,0
"42",2020-03-01,"NY","HERKIMER",36043,37,6,19,12,0,24,13,12,2,2,2,0,0,0,1
"43",2020-03-01,"NY","JEFFERSON",36045,48,0,18,30,0,47,1,11,0,0,0,0,0,0,0
"44",2020-03-01,"NY","KINGS",36047,19460,6455,340,12665,2360,325,16775,11917,662,579,641,1013,1156,2169,0
"45",2020-03-01,"NY","LIVINGSTON",36051,25,4,16,5,0,24,1,15,0,1,1,0,0,0,0
"46",2020-03-01,"NY","MADISON",36053,107,12,76,19,0,95,12,49,1,1,1,1,2,3,1
"47",2020-03-01,"NY","MONROE",36055,691,18,6,667,14,609,68,257,8,8,8,41,54,95,10
"48",2020-03-01,"NY","MONTGOMERY",36057,23,7,9,7,0,11,12,6,0,0,0,0,0,0,0
"49",2020-03-01,"NY","NASSAU",36059,17381,1036,2909,13436,698,15663,1020,8544,48,268,281,644,1246,1890,214
"50",2020-03-01,"NY","NEW YORK",36061,9968,3321,257,6390,975,107,8886,6876,292,365,394,1962,1450,3412,0
"51",2020-03-01,"NY","NIAGARA",36063,162,68,43,51,0,137,25,41,0,1,1,4,7,11,0
"52",2020-03-01,"NY","ONEIDA",36065,135,24,54,57,0,90,45,34,0,1,2,12,8,20,2
"53",2020-03-01,"NY","ONONDAGA",36067,574,72,284,218,0,510,64,249,1,2,2,17,21,38,1
"54",2020-03-01,"NY","ONTARIO",36069,68,12,39,17,0,66,2,20,0,0,0,4,4,8,0
"55",2020-03-01,"NY","ORANGE",36071,4529,440,3444,645,114,4327,88,1556,5,23,23,40,111,151,16
"56",2020-03-01,"NY","ORLEANS",36073,15,6,9,0,0,14,1,5,0,0,0,2,2,4,0
"57",2020-03-01,"NY","OSWEGO",36075,52,5,28,19,0,51,1,15,0,0,0,0,0,0,0
"58",2020-03-01,"NY","OTSEGO",36077,47,10,28,9,0,24,23,17,1,2,2,1,20,21,2
"59",2020-03-01,"NY","PUTNAM",36079,723,78,556,89,0,646,77,167,0,7,7,5,15,20,5
"60",2020-03-01,"NY","QUEENS",36081,21188,7416,321,13451,2523,355,18310,13691,660,596,624,873,1099,1972,0
"61",2020-03-01,"NY","RENSSELAER",36083,114,38,65,11,0,91,23,54,0,0,0,0,4,4,0
"62",2020-03-01,"NY","RICHMOND",36085,4552,994,47,3511,233,12,4307,2889,113,94,96,111,234,345,0
"63",2020-03-01,"NY","ROCKLAND",36087,6994,548,3651,2795,180,6340,474,2863,5,54,57,191,83,274,32
"64",2020-03-01,"NY","SARATOGA",36091,243,36,115,92,0,190,53,108,1,0,0,8,4,12,0
"65",2020-03-01,"NY","SCHENECTADY",36093,237,61,99,77,0,200,37,85,1,3,3,4,2,6,4
