"","State","County Name","FIPS State","FIPS County","fips_num","abbrev","full_name"
"1","Alabama","Autauga","01","001","01001","AL","Autauga County AL"
"2","Alabama","Baldwin","01","003","01003","AL","Baldwin County AL"
"3","Alabama","Barbour","01","005","01005","AL","Barbour County AL"
"4","Alabama","Bibb","01","007","01007","AL","Bibb County AL"
"5","Alabama","Blount","01","009","01009","AL","Blount County AL"
"6","Alabama","Bullock","01","011","01011","AL","Bullock County AL"
"7","Alabama","Butler","01","013","01013","AL","Butler County AL"
"8","Alabama","Calhoun","01","015","01015","AL","Calhoun County AL"
"9","Alabama","Chambers","01","017","01017","AL","Chambers County AL"
"10","Alabama","Cherokee","01","019","01019","AL","Cherokee County AL"
"11","Alabama","Chilton","01","021","01021","AL","Chilton County AL"
"12","Alabama","Choctaw","01","023","01023","AL","Choctaw County AL"
"13","Alabama","Clarke","01","025","01025","AL","Clarke County AL"
"14","Alabama","Clay","01","027","01027","AL","Clay County AL"
"15","Alabama","Cleburne","01","029","01029","AL","Cleburne County AL"
"16","Alabama","Coffee","01","031","01031","AL","Coffee County AL"
"17","Alabama","Colbert","01","033","01033","AL","Colbert County AL"
"18","Alabama","Conecuh","01","035","01035","AL","Conecuh County AL"
"19","Alabama","Coosa","01","037","01037","AL","Coosa County AL"
"20","Alabama","Covington","01","039","01039","AL","Covington County AL"
"21","Alabama","Crenshaw","01","041","01041","AL","Crenshaw County AL"
"22","Alabama","Cullman","01","043","01043","AL","Cullman County AL"
"23","Alabama","Dale","01","045","01045","AL","Dale County AL"
"24","Alabama","Dallas","01","047","01047","AL","Dallas County AL"
"25","Alabama","De Kalb","01","049","01049","AL","De Kalb County AL"
"26","Alabama","Elmore","01","051","01051","AL","Elmore County AL"
"27","Alabama","Escambia","01","053","01053","AL","Escambia County AL"
"28","Alabama","Etowah","01","055","01055","AL","Etowah County AL"
"29","Alabama","Fayette","01","057","01057","AL","Fayette County AL"
"30","Alabama","Franklin","01","059","01059","AL","Franklin County AL"
"31","Alabama","Geneva","01","061","01061","AL","Geneva County AL"
"32","Alabama","Greene","01","063","01063","AL","Greene County AL"
"33","Alabama","Hale","01","065","01065","AL","Hale County AL"
"34","Alabama","Henry","01","067","01067","AL","Henry County AL"
"35","Alabama","Houston","01","069","01069","AL","Houston County AL"
"36","Alabama","Jackson","01","071","01071","AL","Jackson County AL"
"37","Alabama","Jefferson","01","073","01073","AL","Jefferson County AL"
"38","Alabama","Lamar","01","075","01075","AL","Lamar County AL"
"39","Alabama","Lauderdale","01","077","01077","AL","Lauderdale County AL"
"40","Alabama","Lawrence","01","079","01079","AL","Lawrence County AL"
"41","Alabama","Lee","01","081","01081","AL","Lee County AL"
"42","Alabama","Limestone","01","083","01083","AL","Limestone County AL"
"43","Alabama","Lowndes","01","085","01085","AL","Lowndes County AL"
"44","Alabama","Macon","01","087","01087","AL","Macon County AL"
"45","Alabama","Madison","01","089","01089","AL","Madison County AL"
"46","Alabama","Marengo","01","091","01091","AL","Marengo County AL"
"47","Alabama","Marion","01","093","01093","AL","Marion County AL"
"48","Alabama","Marshall","01","095","01095","AL","Marshall County AL"
"49","Alabama","Mobile","01","097","01097","AL","Mobile County AL"
"50","Alabama","Monroe","01","099","01099","AL","Monroe County AL"
"51","Alabama","Montgomery","01","101","01101","AL","Montgomery County AL"
